,epoch,lr,train loss,train acc,test loss,test acc
0,0,1.0,0.26913027938672995,0.9223333333333333,0.15289972204047644,0.9487
1,1,1.0,0.08770891718698623,0.9732833333333333,0.07924914104098155,0.9759
2,2,1.0,0.05820808710258795,0.9823,0.07273263011094318,0.977
3,3,1.0,0.04109829800931575,0.9877166666666667,0.07887657057887508,0.9762
4,4,1.0,0.029213255767558614,0.9913666666666666,0.061131741662496214,0.9801
5,5,1.0,0.020908742388906717,0.99405,0.05889115336806983,0.9811
6,6,1.0,0.01508482486757693,0.9965,0.06339140562352374,0.9808
7,7,1.0,0.010681717912014593,0.99805,0.0661653978189946,0.9795
8,8,1.0,0.00828543225141003,0.9986833333333334,0.05865367677079116,0.9826
9,9,1.0,0.0058509806937501775,0.9994666666666666,0.0578437812169171,0.9828
10,10,0.1,0.0035913891030779003,0.9998166666666667,0.05523494072394418,0.9836
11,11,0.1,0.003276004837689069,0.9999166666666667,0.05490144700305942,0.9836
12,12,0.1,0.0031622221897399565,0.9999333333333333,0.05472361775039459,0.9838
13,13,0.1,0.003079145412953066,0.99995,0.054819299364364825,0.9841
14,14,0.1,0.003015467686141509,0.9999666666666667,0.05472896223500511,0.9838
15,15,0.1,0.002960410819884741,0.99995,0.05466173948439483,0.9841
16,16,0.1,0.0029213316949176756,0.9999666666666667,0.05473061810949367,0.9842
17,17,0.1,0.0028751616232325005,0.9999666666666667,0.05475557505641417,0.984
18,18,0.1,0.0028418045775650577,0.9999666666666667,0.05475194173435605,0.9839
19,19,0.1,0.002804167275645623,0.9999666666666667,0.054696404898504705,0.9844
